SLF Sun-Life-Financial-
SLG SL-Green-Realty-
SLQT SelectQuote
SM SM-Energy-
SMAR Smartsheet-
SMFG Sumitomo-Mitsui-Financial-
SMG Scotts-Miracle-Gro-
SMHI SEACOR-Marine-Holdings-
SMLP Summit-Midstream-Partners-
SMM Salient-Midstream-
SMP Standard-Motor-Products
SMTS Sierra-Metals-
SNAP Snap-
SNDR Schneider-National
SNE Sony-
SNMP Sanchez-Midstream-Partners-LP-
SNN Smith-
SNOW Snowflake-
SNP China-Petroleum-
SNV Synovus-Financial-
SNX Synnex-
SO Southern-
SOAC Sustainable-Opportunities-Acquisition-
SOGO Sogou-
SOI Solaris-Oilfield-Infrastructure
SOLN Southern-
SON Sonoco-Products-
SOR Source-Capital
SOS SOS-
SPAQ Spartan-Energy-Acquisition-
SPB Spectrum-Brands-Holdings
SPCE Virgin-Galactic-Holdings
SPG Simon-Property-
SPGI S-P-Global-
SPH Suburban-Propane-Partners
SPOT Spotify-Technology-
SPR Spirit-Aerosystems-Holdings
SPXC SPX-
SQ Square
SQM Sociedad-Quimica-y-Minera-
SR Spire-
SRC Spirit-Realty-Capital
SRE Sempra-Energy-
SRG Seritage-Growth-Properties-Class-A-
SRI Stoneridge
SRLP Sprague-Resources-LP-
SRT StarTek
SSD Simpson-Manufacturing-
SSTK Shutterstock
SSY SunLink-Health-Systems
ST Sensata-Technologies-Holding-
STAG Stag-Industrial
STAR iStar-
STC Stewart-Information-Services-
STE STERIS-
STG Sunlands-Technology-
STN Stantec-
STNG Scorpio-Tankers-
STON StoneMor-
STOR STORE-Capital-
STPK-U Star-Peak-Energy-Transition-
STT State-Street-
STXS Stereotaxis
STZ Constellation-Brands
STZ-B Constellation-Brands
SU Suncor-Energy-
SUI Sun-Communities
SUM Summit-Materials
SUN Sunoco-LP-
SUP Superior-Industries-International
SVM Silvercorp-Metals-
SVT Servotronics
SWCH Switch
SWI SolarWinds-
SWK Stanley-Black-
SWM Schweitzer-Mauduit-International
SWN Southwestern-Energy-
SWT Stanley-Black-
SWX Southwest-Gas-Holdings
SXC SunCoke-Energy
SXI Standex-International-
SXT Sensient-Technologies-
SYF Synchrony-Financial-
SYK Stryker-
SYN Synthetic-Biologics
SYX Systemax-
SYY Sysco-
TAC TransAlta-
TAK Takeda-Pharmaceutical-
TAL TAL-Education-
TALO Talos-Energy
TALO-W Talos-Energy
TAP Molson-Coors-Beverage-
TAP-A Molson-Coors-Beverage-
TARO Taro-Pharmaceutical-Industries-
TAT TransAtlantic-Petroleum-
TBI TrueBlue
TCI Transcontinental-Realty-Investors
TCO Taubman-Centers
TCP TC-PipeLines-
TCS Container-Store-
TD Toronto-Dominion-Bank-
TDA Telephone-and-Data-Systems
TDC Teradata-
TDE Telephone-and-Data-Systems
TDG Transdigm-
TDI Telephone-and-Data-Systems
TDJ Telephone-and-Data-Systems
TDOC Teladoc-Health
TDS Telephone-and-Data-Systems
TDW Tidewater-
TDW-A Tidewater-
TDW-B Tidewater-
TDY Teledyne-Technologies-
TECK Teck-Resources-
TEF Telefonica-SA-
TEN Tenneco-
